ROWNAME,VECTOR,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
0,-0.414025040341929 0.159417361111406 -0.0223204116746359 -0.285267364420886 -0.748934313126014 0.556141208224434 0.326536614015607 0.0288696719713633 -0.382881738030479 0.664843940559528 0.254966019968381 0.249444828954153 0.256269823129464 0.208118847752504 -0.125729763547525 0.0280205763070012 -0.0488633932921457 -0.337502665801133 -0.836557826735659 -0.248792690544803 -0.915475448471851 0.688443199436608 -0.0118378607053767 -0.482750855531453 -0.181380623362897 0.470678818126197 -0.0316029590966609 -0.0409093164715491 -0.602952263882466 0.341278656278547 -0.520406852426259 -0.711205665454524 -0.29636308114936 0.243153585862621 -0.303214465024259 0.176711085143234 0.230057950338702 -0.341573746839723 0.461800061743095 -0.531202340886828 -0.194859733510627 0.758518596004592 -0.505866890281278 -0.504236163045952 -0.17914089733778 -0.620216718960809 -0.380175300578698 0.0266940585579549 0.881131968449572 0.246508342550751,-0.41402504,0.159417361,-0.022320412,-0.285267364,-0.748934313,0.556141208,0.326536614,0.028869672,-0.382881738,0.664843941,0.25496602,0.249444829,0.256269823,0.208118848,-0.125729764,0.028020576,-0.048863393,-0.337502666,-0.836557827,-0.248792691,-0.915475448,0.688443199,-0.011837861,-0.482750856,-0.181380623,0.470678818,-0.031602959,-0.040909316,-0.602952264,0.341278656,-0.520406852,-0.711205665,-0.296363081,0.243153586,-0.303214465,0.176711085,0.23005795,-0.341573747,0.461800062,-0.531202341,-0.194859734,0.758518596,-0.50586689,-0.504236163,-0.179140897,-0.620216719,-0.380175301,0.026694059,0.881131968,0.246508343
"1,300",0.497878646206415 -0.0602874034065604 -0.461314854257707 0.0534630855576823 0.415864151547807 -0.493282598462666 0.338340230134417 -0.867431690067314 -0.185766007426105 -0.322075567454722 0.593484293644895 0.144736358494442 -0.413966572434014 0.403602314541991 0.524811671007209 -0.58211763004567 -0.296779962975597 0.33624154385166 -0.737988867688143 -0.272074233201097 -0.452475487374581 -0.0164552367562631 0.000587808246318738 -0.195442162902331 -0.0395559143449281 -0.0813386365752285 -0.427950235370733 0.554351719608276 -0.327263174575723 0.000144423411529759 0.302693650558126 0.671207091173931 -0.769727309365957 -0.321513909328631 0.373451348179197 -0.267013423145803 -0.486907744120555 -0.183573872653932 0.252591585101936 0.408908252676084 0.064247100514393 -0.58748454558522 -0.20942420396443 0.259116768713203 0.133656883739291 -0.527145450282694 -0.119875541459632 -0.0528602212526985 0.163854298749644 -0.796778119823256,0.497878646,-0.060287403,-0.461314854,0.053463086,0.415864152,-0.493282598,0.33834023,-0.86743169,-0.185766007,-0.322075567,0.593484294,0.144736358,-0.413966572,0.403602315,0.524811671,-0.58211763,-0.296779963,0.336241544,-0.737988868,-0.272074233,-0.452475487,-0.016455237,0.000587808,-0.195442163,-0.039555914,-0.081338637,-0.427950235,0.55435172,-0.327263175,0.000144423,0.302693651,0.671207091,-0.769727309,-0.321513909,0.373451348,-0.267013423,-0.486907744,-0.183573873,0.252591585,0.408908253,0.064247101,-0.587484546,-0.209424204,0.259116769,0.133656884,-0.52714545,-0.119875541,-0.052860221,0.163854299,-0.79677812
"10,000",0.0573233837723527 0.113316639479379 0.524637467753742 -0.330396724038461 0.179924001093871 0.253947957789898 -0.891937501044449 0.393318178914405 0.420973184196604 -0.29575342387671 0.0586456016637795 -0.684382854288822 0.547050077925715 0.225929066951943 -0.0862161626030185 -0.0478136644508023 -0.43670965886845 -0.0880542735149594 -0.164224850709105 0.619103639082189 0.215682148468531 -0.775685160300061 -0.151372197233911 0.151753168134889 0.200332427908942 -0.156790114572418 0.0910344020551566 -0.431458221392869 0.479045579691856 0.0214180069378408 0.564254434446835 0.231120891739161 -0.296761701364618 0.120505873863618 0.630299375900306 -0.137999971978859 0.0675017665378047 0.304590686429615 -0.483079932021545 0.188460170816359 0.0709499910328868 0.358440630363234 -0.63180398552651 -0.189531009411364 0.259371071083454 -0.599406489107296 0.13948165804086 0.934972846113114 0.700451360045058 -0.855697614038824,0.057323384,0.113316639,0.524637468,-0.330396724,0.179924001,0.253947958,-0.891937501,0.393318179,0.420973184,-0.295753424,0.058645602,-0.684382854,0.547050078,0.225929067,-0.086216163,-0.047813664,-0.436709659,-0.088054274,-0.164224851,0.619103639,0.215682148,-0.77568516,-0.151372197,0.151753168,0.200332428,-0.156790115,0.091034402,-0.431458221,0.47904558,0.021418007,0.564254434,0.231120892,-0.296761701,0.120505874,0.630299376,-0.137999972,0.067501767,0.304590686,-0.483079932,0.188460171,0.070949991,0.35844063,-0.631803986,-0.189531009,0.259371071,-0.599406489,0.139481658,0.934972846,0.70045136,-0.855697614
1000,-0.332439751468667 -0.159642525037497 -0.422659959656591 0.0815681914952352 0.170895362599829 0.0757483733454602 -0.768013372669313 0.0761420880049217 -0.413222081076481 0.251160501819606 -0.0390440537414897 -0.0763980234669 0.257467771704676 0.133232410694434 0.231725857699364 0.0454674689889821 0.429761811469513 -0.242087558011671 0.436840424910661 0.0969930496417973 -0.871251363760204 0.848888200062549 -0.299751565368498 -0.481168914391134 -0.692634214792245 0.0788609255023639 -0.0145543866031678 -0.233596633880917 -0.0761216778688232 0.352392575450501 -0.347318333563488 -0.141033701670682 0.156749507248708 0.00206480826905539 0.147392867850301 0.391262445279356 -0.829596620963289 -0.343814561875043 0.341114448611525 -0.274328022301336 0.850985546443865 -0.136938160374937 0.0841612734400073 -0.0746371247220986 0.161364460032723 -0.189846336981876 -0.048202879748515 0.286772898868578 0.0820536277413148 0.404393503651756,-0.332439751,-0.159642525,-0.42265996,0.081568191,0.170895363,0.075748373,-0.768013373,0.076142088,-0.413222081,0.251160502,-0.039044054,-0.076398023,0.257467772,0.133232411,0.231725858,0.045467469,0.429761811,-0.242087558,0.436840425,0.09699305,-0.871251364,0.8488882,-0.299751565,-0.481168914,-0.692634215,0.078860926,-0.014554387,-0.233596634,-0.076121678,0.352392575,-0.347318334,-0.141033702,0.156749507,0.002064808,0.147392868,0.391262445,-0.829596621,-0.343814562,0.341114449,-0.274328022,0.850985546,-0.13693816,0.084161273,-0.074637125,0.16136446,-0.189846337,-0.04820288,0.286772899,0.082053628,0.404393504
10km,0.0420543789356791 0.275766538028403 -0.348244174977389 -0.722637964367751 0.313459043305633 -0.888761898593737 0.353710341032777 -0.733552044218633 0.626863415962992 -0.367167751280082 0.28950305933558 0.950621434946039 0.51113699793114 0.380373874374103 -0.303228887963285 0.621246934751049 -0.481925910252992 -0.30632967883107 0.524182259382097 -0.350939728072047 0.222372586159825 0.876410355352122 -0.0580158004959087 0.249256538872841 0.00433553604869438 0.199059778943448 -0.537213417868431 0.230475753890617 -0.146576949689578 0.396960847068138 1.05823383868024 0.0548045521270791 0.488680374015025 0.294852369689984 -0.344191206635752 -0.48215802352249 -0.384532856140564 -0.267577046241881 -0.432503118256397 -0.178238317477305 -0.00124961316896093 0.689939673517561 0.0929721705594276 -0.195539901192477 0.235894164346573 -0.571601689090961 0.232407205485029 0.332757995092199 0.426555744949293 -0.514795280545509,0.042054379,0.275766538,-0.348244175,-0.722637964,0.313459043,-0.888761899,0.353710341,-0.733552044,0.626863416,-0.367167751,0.289503059,0.950621435,0.511136998,0.380373874,-0.303228888,0.621246935,-0.48192591,-0.306329679,0.524182259,-0.350939728,0.222372586,0.876410355,-0.0580158,0.249256539,0.004335536,0.199059779,-0.537213418,0.230475754,-0.14657695,0.396960847,1.058233839,0.054804552,0.488680374,0.29485237,-0.344191207,-0.482158024,-0.384532856,-0.267577046,-0.432503118,-0.178238317,-0.001249613,0.689939674,0.092972171,-0.195539901,0.235894164,-0.571601689,0.232407205,0.332757995,0.426555745,-0.514795281
1934,-0.754687326535119 -0.307743254245627 -0.184026021238907 -0.493892373055622 0.0519876929611827 -0.034516437073324 0.0211199347994239 -0.934593656460628 0.849664547777349 0.175437585681724 0.802468156042477 0.304400367988759 0.118895744676335 -0.099925172261608 0.318920366754902 0.160663535616646 -0.0993357415889544 -0.533513137889611 -0.636899592707187 -0.406951215826918 0.0554245353733522 -1.12817557581937 0.0349930181152377 -0.377388375131108 -0.3850554957761 0.667449821333108 0.50141777273986 -0.403656090044781 0.152093226200106 -0.445217740967931 -0.0213618035714386 0.306008409265582 0.867779417573969 -0.625916794691588 0.847851604013381 0.140505269391086 0.192686068118885 0.555016098060225 -0.267318192226635 0.201764039509427 0.377143597635185 0.0736798252627151 -0.840335387945916 0.619040632477829 0.434936793306404 -0.56816938748387 0.392512758339654 0.199837154965691 -0.316873111818137 -0.0841291158954319,-0.754687327,-0.307743254,-0.184026021,-0.493892373,0.051987693,-0.034516437,0.021119935,-0.934593656,0.849664548,0.175437586,0.802468156,0.304400368,0.118895745,-0.099925172,0.318920367,0.160663536,-0.099335742,-0.533513138,-0.636899593,-0.406951216,0.055424535,-1.128175576,0.034993018,-0.377388375,-0.385055496,0.667449821,0.501417773,-0.40365609,0.152093226,-0.445217741,-0.021361804,0.306008409,0.867779418,-0.625916795,0.847851604,0.140505269,0.192686068,0.555016098,-0.267318192,0.20176404,0.377143598,0.073679825,-0.840335388,0.619040632,0.434936793,-0.568169387,0.392512758,0.199837155,-0.316873112,-0.084129116
1axlxh7pyp,-0.414798128160086 -0.908301685411588 0.07645537713088 0.0778237500231593 -0.444796162726852 -0.00442146987462344 -0.383680020051507 -0.701350322666342 0.0687964484521201 -0.455346040745113 0.837918084758664 0.378903879638915 0.465562118513979 -0.390015521078281 -0.206824889242737 0.000517536288230452 -0.0857363011444638 0.568057115827858 0.140206612767901 0.884357910324464 0.433568950695664 0.269841870217348 -0.242244640144507 0.467664293549095 0.523883156367225 -0.193711001677472 -0.275315627435848 0.538128871585102 0.0918711167517417 -0.448196253975463 0.549563382923345 0.311020572262373 0.579076671578427 0.338086040150613 -0.731199949486913 -0.455068495323565 -0.0396142099377663 -0.236717980271818 -0.650524896051328 0.293711896798864 -0.302539043656381 -0.487269696421874 -0.309736020738796 0.0850217607329677 -0.462402646702988 0.011792941034988 -0.24987719456276 0.228143655609091 -0.693190178657686 0.515784255865208,-0.414798128,-0.908301685,0.076455377,0.07782375,-0.444796163,-0.00442147,-0.38368002,-0.701350323,0.068796448,-0.455346041,0.837918085,0.37890388,0.465562119,-0.390015521,-0.206824889,0.000517536,-0.085736301,0.568057116,0.140206613,0.88435791,0.433568951,0.26984187,-0.24224464,0.467664294,0.523883156,-0.193711002,-0.275315627,0.538128872,0.091871117,-0.448196254,0.549563383,0.311020572,0.579076672,0.33808604,-0.731199949,-0.455068495,-0.03961421,-0.23671798,-0.650524896,0.293711897,-0.302539044,-0.487269696,-0.309736021,0.085021761,-0.462402647,0.011792941,-0.249877195,0.228143656,-0.693190179,0.515784256
2012,0.80313387874655 0.198238635968217 -0.241084241257077 -0.882010024421859 -0.0299883234856237 0.00653615186186395 -0.148683266001809 -0.124977192777225 -0.394095889657402 -0.314643029259411 0.157212221689762 0.172117863820194 0.0188423327532799 0.98228195539755 -0.626947557670339 0.31380240341813 0.106138620439114 -0.105269724971867 0.755053509461977 -0.103917263885267 -0.474066279794746 -0.148014390038029 -0.640268232219815 0.0745738080439638 0.258233992291341 -0.0633408768559808 -0.523313962905106 -0.487047965628266 -0.0976258573282183 0.00626788872787774 0.129999791937057 -0.15163583134641 0.389253951006117 0.524199882979969 0.352125753021921 -0.205847312209287 -0.649100189387264 0.0711827215631339 0.00454234576230488 0.246240029160357 -0.483016248468927 -0.0721181206330722 0.184972987659977 -0.897172071616558 0.16711645621472 0.672098555611363 0.257656448908862 0.119929273497989 -0.103609764429568 0.50654433595861,0.803133879,0.198238636,-0.241084241,-0.882010024,-0.029988323,0.006536152,-0.148683266,-0.124977193,-0.39409589,-0.314643029,0.157212222,0.172117864,0.018842333,0.982281955,-0.626947558,0.313802403,0.10613862,-0.105269725,0.755053509,-0.103917264,-0.47406628,-0.14801439,-0.640268232,0.074573808,0.258233992,-0.063340877,-0.523313963,-0.487047966,-0.097625857,0.006267889,0.129999792,-0.151635831,0.389253951,0.524199883,0.352125753,-0.205847312,-0.649100189,0.071182722,0.004542346,0.246240029,-0.483016248,-0.072118121,0.184972988,-0.897172072,0.167116456,0.672098556,0.257656449,0.119929273,-0.103609764,0.506544336
2015,0.0757409615215462 -0.143444497938721 -0.225545373028206 -0.263354966630317 0.528461878286261 0.700549624638068 0.446860012152987 -0.0727592755980514 0.551950369539634 -0.1327784057809 -0.22202100187175 -0.1139754213059 0.59252277614603 0.228547988599964 -0.147476273558283 0.119389240114353 0.723708467365095 0.0141011825742778 0.236452324572165 -0.492595135488071 0.0337637002121269 0.181164029130619 0.031150437501926 -0.277972713211885 0.738990652414158 0.135841751440058 0.151450506072375 -0.401811248771294 -0.294452381533434 0.669558373777001 -0.116485675537128 0.082021951765279 0.0297294806544008 0.306237329413997 -0.0843720818274292 0.611956754246578 0.0334132190514786 -0.124651777319638 -0.199393851686369 -0.116158243189631 0.0530609832712709 0.714874043309477 -0.246041815237387 -0.755429924182373 0.710923602600702 -0.303713224089488 -0.502478086225553 -0.240387151602902 -0.125832611355105 -0.269268293493952,0.075740962,-0.143444498,-0.225545373,-0.263354967,0.528461878,0.700549625,0.446860012,-0.072759276,0.55195037,-0.132778406,-0.222021002,-0.113975421,0.592522776,0.228547989,-0.147476274,0.11938924,0.723708467,0.014101183,0.236452325,-0.492595135,0.0337637,0.181164029,0.031150438,-0.277972713,0.738990652,0.135841751,0.151450506,-0.401811249,-0.294452382,0.669558374,-0.116485676,0.082021952,0.029729481,0.306237329,-0.084372082,0.611956754,0.033413219,-0.124651777,-0.199393852,-0.116158243,0.053060983,0.714874043,-0.246041815,-0.755429924,0.710923603,-0.303713224,-0.502478086,-0.240387152,-0.125832611,-0.269268293
20m,-0.488672238339505 0.473460444049478 -0.154930726096178 0.472588611109816 0.630984856925068 0.489482926553495 0.862235153156716 0.13510687257938 -0.504603644792032 0.964640752653082 0.150276371715998 0.531223801911617 -0.108584166579543 -0.0439975146961972 -0.514591467974961 0.878294366464698 -0.303620087391336 -1.0187098803864 0.77014181719548 -0.0878970219297111 -0.654147509878675 -0.244549497854141 -0.261089719134685 0.655053076535245 -0.261135063999782 0.742699231757309 -0.464684475195392 -0.167637928405439 -0.222231739605389 -0.159190093693752 -0.304561266175476 -0.137610630715031 0.135348291414322 -0.205476107715514 0.290077892510263 -0.460771557506513 -0.552417028419002 0.799327985227268 -0.706203457517137 0.401016773979382 -0.284042364249722 -0.328884514946034 -0.147430224526529 0.177694541984676 0.137893085786145 -0.214656394766816 0.111356164264243 0.607505930377359 -0.367912305763565 -0.785186712081705,-0.488672238,0.473460444,-0.154930726,0.472588611,0.630984857,0.489482927,0.862235153,0.135106873,-0.504603645,0.964640753,0.150276372,0.531223802,-0.108584167,-0.043997515,-0.514591468,0.878294366,-0.303620087,-1.01870988,0.770141817,-0.087897022,-0.65414751,-0.244549498,-0.261089719,0.655053077,-0.261135064,0.742699232,-0.464684475,-0.167637928,-0.22223174,-0.159190094,-0.304561266,-0.137610631,0.135348291,-0.205476108,0.290077893,-0.460771558,-0.552417028,0.799327985,-0.706203458,0.401016774,-0.284042364,-0.328884515,-0.147430225,0.177694542,0.137893086,-0.214656395,0.111356164,0.60750593,-0.367912306,-0.785186712
