ROWNAME,VECTOR,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,CONCACTENATE
0,0.34518295106856 -0.253382108446584 0.0587722699556978 -0.0104719431858385 -0.645202857995059 0.0628185430564442 -1.02052836319553 0.335433043280468 0.242530496619396 0.148442426119257 -0.331964459480987 -0.149653383532889 0.352692071487206 -0.591487554935283 -0.0574827557528428 0.660483539035299 0.537355968147985 -0.328577126490741 0.335131589980243 0.799351604412738 0.819097223756063 -0.0985722197146585 0.634788530426322 -0.221873363136142 0.233441068474263 0.0498166350196304 0.373534968747306 0.366848456705927 -0.652727120303367 0.337168893404309 0.864348057521865 -0.0622242946534769 -0.390945113666476 0.400579856768472 0.736651450040328 0.517974344831106 -0.644622908505517 0.606309179242037 0.246230326629998 -0.013166470567561 0.210248229769237 -0.220865627683838 0.411279285532932 -0.284172475226844 0.366379739598702 -0.18611544126697 0.179182354213554 0.0283866372651823 -0.0677324250005238 -0.0560852797055558,0.345182951,-0.253382108,0.05877227,-0.010471943,-0.645202858,0.062818543,-1.020528363,0.335433043,0.242530497,0.148442426,-0.331964459,-0.149653384,0.352692071,-0.591487555,-0.057482756,0.660483539,0.537355968,-0.328577126,0.33513159,0.799351604,0.819097224,-0.09857222,0.63478853,-0.221873363,0.233441068,0.049816635,0.373534969,0.366848457,-0.65272712,0.337168893,0.864348058,-0.062224295,-0.390945114,0.400579857,0.73665145,0.517974345,-0.644622909,0.606309179,0.246230327,-0.013166471,0.21024823,-0.220865628,0.411279286,-0.284172475,0.36637974,-0.186115441,0.179182354,0.028386637,-0.067732425,-0.05608528,0.34518295106856 -0.253382108446584 0.0587722699556978 -0.0104719431858385 -0.645202857995059 0.0628185430564442 -1.02052836319553 0.335433043280468 0.242530496619396 0.148442426119257 -0.331964459480987 -0.149653383532889 0.352692071487206 -0.591487554935283 -0.0574827557528428 0.660483539035299 0.537355968147985 -0.328577126490741 0.335131589980243 0.799351604412738 0.819097223756063 -0.0985722197146585 0.634788530426322 -0.221873363136142 0.233441068474263 0.0498166350196304 0.373534968747306 0.366848456705927 -0.652727120303367 0.337168893404309 0.864348057521865 -0.0622242946534769 -0.390945113666476 0.400579856768472 0.736651450040328 0.517974344831106 -0.644622908505517 0.606309179242037 0.246230326629998 -0.013166470567561 0.210248229769237 -0.220865627683838 0.411279285532932 -0.284172475226844 0.366379739598702 -0.18611544126697 0.179182354213554 0.0283866372651823 -0.0677324250005238 -0.0560852797055558
00am,-0.312661144962184 -0.0490531999262933 -0.419392358129139 -0.352881158056236 0.379262338868982 -0.468206675555351 -0.0162124935915644 0.60064945880928 -0.00651023800531633 0.472757247966382 0.0304107049448522 0.743505199689764 -0.426089496133077 -0.135241001858077 0.00701973984720516 0.207453784903626 -0.106771956887503 0.0798454125290369 -0.375593348494956 0.0422412419277674 -0.743094364226677 0.0658728242380152 0.270378010440339 0.699007089489016 -0.334342547189403 -0.315407528987791 0.560850139326901 0.0571521362539952 0.333185967477659 0.245912287888825 0.271857878624158 -0.403734208748729 -0.0855183605873676 0.15743507402887 0.704060546739191 -0.405448277667656 0.361258839477873 -0.0814181266509656 -0.315449158278782 0.166364297618477 0.378055332154248 -0.497487367650065 0.625512538218799 0.223673771836809 0.190437245476297 0.323244011241911 0.608223712565049 -0.568190800018775 -0.189417438281558 -0.287674495728985,-0.312661145,-0.0490532,-0.419392358,-0.352881158,0.379262339,-0.468206676,-0.016212494,0.600649459,-0.006510238,0.472757248,0.030410705,0.7435052,-0.426089496,-0.135241002,0.00701974,0.207453785,-0.106771957,0.079845413,-0.375593348,0.042241242,-0.743094364,0.065872824,0.27037801,0.699007089,-0.334342547,-0.315407529,0.560850139,0.057152136,0.333185967,0.245912288,0.271857879,-0.403734209,-0.085518361,0.157435074,0.704060547,-0.405448278,0.361258839,-0.081418127,-0.315449158,0.166364298,0.378055332,-0.497487368,0.625512538,0.223673772,0.190437245,0.323244011,0.608223713,-0.5681908,-0.189417438,-0.287674496,-0.312661144962184 -0.0490531999262933 -0.419392358129139 -0.352881158056236 0.379262338868982 -0.468206675555351 -0.0162124935915644 0.60064945880928 -0.00651023800531633 0.472757247966382 0.0304107049448522 0.743505199689764 -0.426089496133077 -0.135241001858077 0.00701973984720516 0.207453784903626 -0.106771956887503 0.0798454125290369 -0.375593348494956 0.0422412419277674 -0.743094364226677 0.0658728242380152 0.270378010440339 0.699007089489016 -0.334342547189403 -0.315407528987791 0.560850139326901 0.0571521362539952 0.333185967477659 0.245912287888825 0.271857878624158 -0.403734208748729 -0.0855183605873676 0.15743507402887 0.704060546739191 -0.405448277667656 0.361258839477873 -0.0814181266509656 -0.315449158278782 0.166364297618477 0.378055332154248 -0.497487367650065 0.625512538218799 0.223673771836809 0.190437245476297 0.323244011241911 0.608223712565049 -0.568190800018775 -0.189417438281558 -0.287674495728985
1,-0.0988926298209011 -0.204685189132543 0.0269184009477915 -0.406014538545311 -0.0109702974515673 -0.63494838485421 0.689006386581422 0.0288171665779409 0.173924353519153 -0.522720779743247 0.0346559948207937 0.161591850006369 0.249110982035592 0.342724440383729 -0.168701156966806 0.315309257522509 -0.0507875696847377 -0.557679902814125 0.277056743684772 0.0846496100597457 -0.543546505923575 0.610659094675637 -0.359286003405474 0.562326391403012 0.296959689595985 0.42128841286357 0.0664997221924074 -0.248064977022256 -0.104978293595028 -0.094645095297998 0.24132488886293 0.253123072702462 0.411135367959821 0.547438274009561 -0.355305023977048 0.382697993905514 -0.399034236932547 -0.718046913531724 -0.286808861462083 0.275915651822059 -0.845770939707771 0.157841366374992 0.449635021429674 -0.319321420916173 -0.441177140776685 0.164962304491321 1.15841596123396 -0.0126554838864479 0.0476422700897098 0.0432328693470744,-0.09889263,-0.204685189,0.026918401,-0.406014539,-0.010970297,-0.634948385,0.689006387,0.028817167,0.173924354,-0.52272078,0.034655995,0.16159185,0.249110982,0.34272444,-0.168701157,0.315309258,-0.05078757,-0.557679903,0.277056744,0.08464961,-0.543546506,0.610659095,-0.359286003,0.562326391,0.29695969,0.421288413,0.066499722,-0.248064977,-0.104978294,-0.094645095,0.241324889,0.253123073,0.411135368,0.547438274,-0.355305024,0.382697994,-0.399034237,-0.718046914,-0.286808861,0.275915652,-0.84577094,0.157841366,0.449635021,-0.319321421,-0.441177141,0.164962304,1.158415961,-0.012655484,0.04764227,0.043232869,-0.0988926298209011 -0.204685189132543 0.0269184009477915 -0.406014538545311 -0.0109702974515673 -0.63494838485421 0.689006386581422 0.0288171665779409 0.173924353519153 -0.522720779743247 0.0346559948207937 0.161591850006369 0.249110982035592 0.342724440383729 -0.168701156966806 0.315309257522509 -0.0507875696847377 -0.557679902814125 0.277056743684772 0.0846496100597457 -0.543546505923575 0.610659094675637 -0.359286003405474 0.562326391403012 0.296959689595985 0.42128841286357 0.0664997221924074 -0.248064977022256 -0.104978293595028 -0.094645095297998 0.24132488886293 0.253123072702462 0.411135367959821 0.547438274009561 -0.355305023977048 0.382697993905514 -0.399034236932547 -0.718046913531724 -0.286808861462083 0.275915651822059 -0.845770939707771 0.157841366374992 0.449635021429674 -0.319321420916173 -0.441177140776685 0.164962304491321 1.15841596123396 -0.0126554838864479 0.0476422700897098 0.0432328693470744
9084810336,-0.302219749096796 0.0486436995956038 0.528774750812408 -0.25644571714687 0.0649405855490819 0.563241883051093 -0.193599396525414 -0.713101900126352 -0.226659933777179 -0.271436728836018 -0.369498368049351 -0.336510076193163 0.354705458159245 0.220630256713068 -0.612835260934824 -0.376107982809633 -0.1599090858338 0.436573642671103 0.291824589673001 0.509598145860262 -0.638267936162805 -0.160004349830473 0.38189913304051 -0.426125773595433 -0.159170725341852 0.310004858164309 0.282764731383765 0.21972897965605 0.385717711622127 0.158479081588656 -0.544710272883641 -0.0124041988209318 0.412830821019375 0.250390495200691 0.0769838061035478 -0.0404650277016668 -0.506013824484891 0.216732161565216 0.628555720529559 0.860257258167007 0.0286204232568724 0.126555725281336 0.167208151099732 -0.140508479229244 -0.0635611913984092 0.60374656605038 -0.257343114246825 -0.588385319349825 0.0824740542893364 -0.232935333994797,-0.302219749,0.0486437,0.528774751,-0.256445717,0.064940586,0.563241883,-0.193599397,-0.7131019,-0.226659934,-0.271436729,-0.369498368,-0.336510076,0.354705458,0.220630257,-0.612835261,-0.376107983,-0.159909086,0.436573643,0.29182459,0.509598146,-0.638267936,-0.16000435,0.381899133,-0.426125774,-0.159170725,0.310004858,0.282764731,0.21972898,0.385717712,0.158479082,-0.544710273,-0.012404199,0.412830821,0.250390495,0.076983806,-0.040465028,-0.506013824,0.216732162,0.628555721,0.860257258,0.028620423,0.126555725,0.167208151,-0.140508479,-0.063561191,0.603746566,-0.257343114,-0.588385319,0.082474054,-0.232935334,-0.302219749096796 0.0486436995956038 0.528774750812408 -0.25644571714687 0.0649405855490819 0.563241883051093 -0.193599396525414 -0.713101900126352 -0.226659933777179 -0.271436728836018 -0.369498368049351 -0.336510076193163 0.354705458159245 0.220630256713068 -0.612835260934824 -0.376107982809633 -0.1599090858338 0.436573642671103 0.291824589673001 0.509598145860262 -0.638267936162805 -0.160004349830473 0.38189913304051 -0.426125773595433 -0.159170725341852 0.310004858164309 0.282764731383765 0.21972897965605 0.385717711622127 0.158479081588656 -0.544710272883641 -0.0124041988209318 0.412830821019375 0.250390495200691 0.0769838061035478 -0.0404650277016668 -0.506013824484891 0.216732161565216 0.628555720529559 0.860257258167007 0.0286204232568724 0.126555725281336 0.167208151099732 -0.140508479229244 -0.0635611913984092 0.60374656605038 -0.257343114246825 -0.588385319349825 0.0824740542893364 -0.232935333994797
"1,750",-0.656576192495343 -1.09467931975589 -0.119548652229137 0.41642086293051 0.362301206267678 -0.143430197829737 -0.791416895320168 0.0320901479626558 -0.394010109053119 -0.121998932917734 -0.0979045237105132 0.0320920612036596 0.0774107150028615 -0.439671999806495 -0.381732529372602 -0.0362317812310657 0.50930849984271 0.117178999947969 -0.0901681599459005 0.483703235447952 0.738920375942187 -0.140730453274438 0.195192487479185 -0.327121868664142 -0.668273056611018 0.0894148332483076 -0.125688262354039 -0.496333317437432 -0.00676641580999828 0.322068371926079 0.689206814198829 0.0828850263993593 -0.360792005194867 -0.127958667947896 -0.0730523370153603 -0.078481219428473 -0.161912295080813 0.566825498233688 0.0790267577867427 0.612174827013529 0.158866432526514 -0.358258124160662 0.0140859023876567 0.876935992853283 -0.581543835858806 0.341760692761573 -0.584819359087552 -0.518575434873899 -0.493848320632941 0.333658383533565,-0.656576192,-1.09467932,-0.119548652,0.416420863,0.362301206,-0.143430198,-0.791416895,0.032090148,-0.394010109,-0.121998933,-0.097904524,0.032092061,0.077410715,-0.439672,-0.381732529,-0.036231781,0.5093085,0.117179,-0.09016816,0.483703235,0.738920376,-0.140730453,0.195192487,-0.327121869,-0.668273057,0.089414833,-0.125688262,-0.496333317,-0.006766416,0.322068372,0.689206814,0.082885026,-0.360792005,-0.127958668,-0.073052337,-0.078481219,-0.161912295,0.566825498,0.079026758,0.612174827,0.158866433,-0.358258124,0.014085902,0.876935993,-0.581543836,0.341760693,-0.584819359,-0.518575435,-0.493848321,0.333658384,-0.656576192495343 -1.09467931975589 -0.119548652229137 0.41642086293051 0.362301206267678 -0.143430197829737 -0.791416895320168 0.0320901479626558 -0.394010109053119 -0.121998932917734 -0.0979045237105132 0.0320920612036596 0.0774107150028615 -0.439671999806495 -0.381732529372602 -0.0362317812310657 0.50930849984271 0.117178999947969 -0.0901681599459005 0.483703235447952 0.738920375942187 -0.140730453274438 0.195192487479185 -0.327121868664142 -0.668273056611018 0.0894148332483076 -0.125688262354039 -0.496333317437432 -0.00676641580999828 0.322068371926079 0.689206814198829 0.0828850263993593 -0.360792005194867 -0.127958667947896 -0.0730523370153603 -0.078481219428473 -0.161912295080813 0.566825498233688 0.0790267577867427 0.612174827013529 0.158866432526514 -0.358258124160662 0.0140859023876567 0.876935992853283 -0.581543835858806 0.341760692761573 -0.584819359087552 -0.518575434873899 -0.493848320632941 0.333658383533565
10,0.171975404061251 -0.692510447457657 -0.848132596385436 0.205930638171382 -0.522916222996035 0.164974341286776 -0.466496749978974 0.0844174874061188 -0.251133328803925 0.753401473409402 0.399145067410285 0.344267824980066 0.14623486024504 0.560582281080536 -0.11456019396113 -0.227436990021431 -0.0170533622023089 -0.322116946267628 -0.279268029583967 1.09313066390707 0.802776670016912 -0.337060087737087 0.0511166194079483 0.211462172179461 -0.23162123775246 -0.232138432147708 0.443368554150131 0.313988453544765 -0.0650020421093655 -0.392771952440987 -0.852483794269013 0.475872966635355 -0.0864953789959755 -0.0439491941452419 -0.00500219002973384 0.830792890076738 0.864841109219274 0.286343684481028 -0.447796899612252 0.0627510692558599 -0.0444154264389896 0.341216333750662 -0.358320666193787 0.494485392394112 -0.0754487060365149 0.167085249051692 0.225326822930103 0.448544008639808 0.344001707471372 0.38025124295541,0.171975404,-0.692510447,-0.848132596,0.205930638,-0.522916223,0.164974341,-0.46649675,0.084417487,-0.251133329,0.753401473,0.399145067,0.344267825,0.14623486,0.560582281,-0.114560194,-0.22743699,-0.017053362,-0.322116946,-0.27926803,1.093130664,0.80277667,-0.337060088,0.051116619,0.211462172,-0.231621238,-0.232138432,0.443368554,0.313988454,-0.065002042,-0.392771952,-0.852483794,0.475872967,-0.086495379,-0.043949194,-0.00500219,0.83079289,0.864841109,0.286343684,-0.4477969,0.062751069,-0.044415426,0.341216334,-0.358320666,0.494485392,-0.075448706,0.167085249,0.225326823,0.448544009,0.344001707,0.380251243,0.171975404061251 -0.692510447457657 -0.848132596385436 0.205930638171382 -0.522916222996035 0.164974341286776 -0.466496749978974 0.0844174874061188 -0.251133328803925 0.753401473409402 0.399145067410285 0.344267824980066 0.14623486024504 0.560582281080536 -0.11456019396113 -0.227436990021431 -0.0170533622023089 -0.322116946267628 -0.279268029583967 1.09313066390707 0.802776670016912 -0.337060087737087 0.0511166194079483 0.211462172179461 -0.23162123775246 -0.232138432147708 0.443368554150131 0.313988453544765 -0.0650020421093655 -0.392771952440987 -0.852483794269013 0.475872966635355 -0.0864953789959755 -0.0439491941452419 -0.00500219002973384 0.830792890076738 0.864841109219274 0.286343684481028 -0.447796899612252 0.0627510692558599 -0.0444154264389896 0.341216333750662 -0.358320666193787 0.494485392394112 -0.0754487060365149 0.167085249051692 0.225326822930103 0.448544008639808 0.344001707471372 0.38025124295541
104,-0.0229549881132278 0.0429452273345941 -0.5374744388071 -0.539095884742642 -0.103440196618227 0.1639866984998 0.176237886666013 -0.393531275848511 0.792730221607746 0.252002056141399 0.819714880973817 0.22058005790708 0.727952052396495 0.500169789771653 -0.220977015087122 -0.654181041107679 -0.321889040798155 -0.196076391138057 -0.326052018601473 0.15565284269731 0.617510029977901 0.266946030023469 0.185213020177756 -0.555735457765852 0.249216422796167 0.43135358013532 0.460220070279828 -0.110353524574076 0.285320469411937 0.00748890196224666 0.43995300203212 0.576042770340416 -0.24488496159703 0.386852936586731 0.830045381217737 -0.539401878233984 -0.605053470836247 -0.526426232237116 -0.00167625276695648 -0.117677200955314 0.0202807305305301 -0.219110631699867 -0.204651289361892 0.373562892857608 0.662920753929572 0.0837893517288515 0.370876795228479 0.106078745274333 0.196636221065995 0.041469622805512,-0.022954988,0.042945227,-0.537474439,-0.539095885,-0.103440197,0.163986698,0.176237887,-0.393531276,0.792730222,0.252002056,0.819714881,0.220580058,0.727952052,0.50016979,-0.220977015,-0.654181041,-0.321889041,-0.196076391,-0.326052019,0.155652843,0.61751003,0.26694603,0.18521302,-0.555735458,0.249216423,0.43135358,0.46022007,-0.110353525,0.285320469,0.007488902,0.439953002,0.57604277,-0.244884962,0.386852937,0.830045381,-0.539401878,-0.605053471,-0.526426232,-0.001676253,-0.117677201,0.020280731,-0.219110632,-0.204651289,0.373562893,0.662920754,0.083789352,0.370876795,0.106078745,0.196636221,0.041469623,-0.0229549881132278 0.0429452273345941 -0.5374744388071 -0.539095884742642 -0.103440196618227 0.1639866984998 0.176237886666013 -0.393531275848511 0.792730221607746 0.252002056141399 0.819714880973817 0.22058005790708 0.727952052396495 0.500169789771653 -0.220977015087122 -0.654181041107679 -0.321889040798155 -0.196076391138057 -0.326052018601473 0.15565284269731 0.617510029977901 0.266946030023469 0.185213020177756 -0.555735457765852 0.249216422796167 0.43135358013532 0.460220070279828 -0.110353524574076 0.285320469411937 0.00748890196224666 0.43995300203212 0.576042770340416 -0.24488496159703 0.386852936586731 0.830045381217737 -0.539401878233984 -0.605053470836247 -0.526426232237116 -0.00167625276695648 -0.117677200955314 0.0202807305305301 -0.219110631699867 -0.204651289361892 0.373562892857608 0.662920753929572 0.0837893517288515 0.370876795228479 0.106078745274333 0.196636221065995 0.041469622805512
11pm,-0.0965060556732793 -0.177312791573581 -0.129523832007413 0.365024138690555 -0.472664924624218 -0.113941656415247 -0.141532893159933 -0.712479043417963 -0.620309041316353 0.755049678573592 -0.708362753416391 -1.06959557732231 -0.553650102252606 0.436451632525758 -0.675116314594287 0.489981811582026 -0.299680390384585 0.834595400521468 -0.502695732003957 -0.248436199520941 0.447995579216794 0.0429228007093681 -0.129940690964987 0.0348083572326116 0.674038579870819 -0.209598892863313 -0.225636789156765 -0.426937968362607 0.591827022583427 -0.398191585188417 -0.795215312895308 -0.875409651317374 0.00433167761732816 -0.124447402628939 -0.190712457246439 -0.216223304950453 0.0457540943565008 -0.158073017998765 0.63838053348773 0.275578691280833 -0.230621464401723 0.0231126693904865 -0.0409904757021204 0.27526816058832 0.60923561298929 -0.0539862103118117 0.325714787757409 -0.503679038340006 0.606531562771458 -1.07605940115323,-0.096506056,-0.177312792,-0.129523832,0.365024139,-0.472664925,-0.113941656,-0.141532893,-0.712479043,-0.620309041,0.755049679,-0.708362753,-1.069595577,-0.553650102,0.436451633,-0.675116315,0.489981812,-0.29968039,0.834595401,-0.502695732,-0.2484362,0.447995579,0.042922801,-0.129940691,0.034808357,0.67403858,-0.209598893,-0.225636789,-0.426937968,0.591827023,-0.398191585,-0.795215313,-0.875409651,0.004331678,-0.124447403,-0.190712457,-0.216223305,0.045754094,-0.158073018,0.638380533,0.275578691,-0.230621464,0.023112669,-0.040990476,0.275268161,0.609235613,-0.05398621,0.325714788,-0.503679038,0.606531563,-1.076059401,-0.0965060556732793 -0.177312791573581 -0.129523832007413 0.365024138690555 -0.472664924624218 -0.113941656415247 -0.141532893159933 -0.712479043417963 -0.620309041316353 0.755049678573592 -0.708362753416391 -1.06959557732231 -0.553650102252606 0.436451632525758 -0.675116314594287 0.489981811582026 -0.299680390384585 0.834595400521468 -0.502695732003957 -0.248436199520941 0.447995579216794 0.0429228007093681 -0.129940690964987 0.0348083572326116 0.674038579870819 -0.209598892863313 -0.225636789156765 -0.426937968362607 0.591827022583427 -0.398191585188417 -0.795215312895308 -0.875409651317374 0.00433167761732816 -0.124447402628939 -0.190712457246439 -0.216223304950453 0.0457540943565008 -0.158073017998765 0.63838053348773 0.275578691280833 -0.230621464401723 0.0231126693904865 -0.0409904757021204 0.27526816058832 0.60923561298929 -0.0539862103118117 0.325714787757409 -0.503679038340006 0.606531562771458 -1.07605940115323
12,-0.0543652425781766 0.467019200135129 -0.087021634536978 -0.364602422798449 0.0197623795933229 -0.907052859236056 0.177315954464685 0.286693226568147 -0.36013544634426 0.338811815641591 0.226287261291182 0.0217667309736419 0.581486489777127 0.7008881432201 -0.556386477815464 -0.602803579394396 -0.153358323713839 -0.0666626730438423 0.421738906440833 0.214163015441863 -0.435390002382383 0.749716833123514 0.494993253077409 0.792700153185097 -0.0213958780350612 -0.571832992857144 0.648340721703564 -0.156542324176899 -0.0649870778560015 0.18817630982384 0.370694761491965 0.0453703445212263 0.757784714220383 -1.0514459751707 -0.424608287705259 0.253021804403017 0.0246250589000133 0.856503502811162 0.521828972444606 0.354020389223663 -0.375496254601996 0.693107297358336 0.268456405317064 -0.260493838561591 -0.205037157859212 -0.100429842417252 -0.31279987595177 -0.673907076643006 -0.602527512950622 0.0766048318169763,-0.054365243,0.4670192,-0.087021635,-0.364602423,0.01976238,-0.907052859,0.177315954,0.286693227,-0.360135446,0.338811816,0.226287261,0.021766731,0.58148649,0.700888143,-0.556386478,-0.602803579,-0.153358324,-0.066662673,0.421738906,0.214163015,-0.435390002,0.749716833,0.494993253,0.792700153,-0.021395878,-0.571832993,0.648340722,-0.156542324,-0.064987078,0.18817631,0.370694761,0.045370345,0.757784714,-1.051445975,-0.424608288,0.253021804,0.024625059,0.856503503,0.521828972,0.354020389,-0.375496255,0.693107297,0.268456405,-0.260493839,-0.205037158,-0.100429842,-0.312799876,-0.673907077,-0.602527513,0.076604832,-0.0543652425781766 0.467019200135129 -0.087021634536978 -0.364602422798449 0.0197623795933229 -0.907052859236056 0.177315954464685 0.286693226568147 -0.36013544634426 0.338811815641591 0.226287261291182 0.0217667309736419 0.581486489777127 0.7008881432201 -0.556386477815464 -0.602803579394396 -0.153358323713839 -0.0666626730438423 0.421738906440833 0.214163015441863 -0.435390002382383 0.749716833123514 0.494993253077409 0.792700153185097 -0.0213958780350612 -0.571832992857144 0.648340721703564 -0.156542324176899 -0.0649870778560015 0.18817630982384 0.370694761491965 0.0453703445212263 0.757784714220383 -1.0514459751707 -0.424608287705259 0.253021804403017 0.0246250589000133 0.856503502811162 0.521828972444606 0.354020389223663 -0.375496254601996 0.693107297358336 0.268456405317064 -0.260493838561591 -0.205037157859212 -0.100429842417252 -0.31279987595177 -0.673907076643006 -0.602527512950622 0.0766048318169763
125,0.544990495069599 0.239235307593144 -0.134577806127082 -0.596332141332991 0.168801734955696 -0.319251702774819 0.20790959270055 -0.656900108686006 0.218785011812271 0.292955907696004 -0.363448171764685 0.239146666490775 0.612300790409475 0.164743614288235 0.331134430534452 0.634277862035594 0.137701052762858 0.483441406014154 -0.247847602887127 -0.241558305426277 0.406710939869231 0.348143214990036 0.0842097180615653 -0.396069788640831 -0.289289202559765 0.109146424261901 -0.218449645375392 0.927477848097029 -0.393090105544425 0.161607424142254 -0.550251445169297 0.0406902806883782 -0.834249455101389 -0.502087066499082 -0.778351573157515 -0.292726352231988 -0.516981134970328 0.205343419374611 0.165460854781857 0.594527272745001 0.432090507962821 0.626352197611923 0.208135456427177 -0.144222850854461 0.438114665302026 -0.393410817585095 -0.494281062156811 0.104245802002783 0.0742087867392247 0.0347749071994892,0.544990495,0.239235308,-0.134577806,-0.596332141,0.168801735,-0.319251703,0.207909593,-0.656900109,0.218785012,0.292955908,-0.363448172,0.239146666,0.61230079,0.164743614,0.331134431,0.634277862,0.137701053,0.483441406,-0.247847603,-0.241558305,0.40671094,0.348143215,0.084209718,-0.396069789,-0.289289203,0.109146424,-0.218449645,0.927477848,-0.393090106,0.161607424,-0.550251445,0.040690281,-0.834249455,-0.502087066,-0.778351573,-0.292726352,-0.516981135,0.205343419,0.165460855,0.594527273,0.432090508,0.626352198,0.208135456,-0.144222851,0.438114665,-0.393410818,-0.494281062,0.104245802,0.074208787,0.034774907,0.544990495069599 0.239235307593144 -0.134577806127082 -0.596332141332991 0.168801734955696 -0.319251702774819 0.20790959270055 -0.656900108686006 0.218785011812271 0.292955907696004 -0.363448171764685 0.239146666490775 0.612300790409475 0.164743614288235 0.331134430534452 0.634277862035594 0.137701052762858 0.483441406014154 -0.247847602887127 -0.241558305426277 0.406710939869231 0.348143214990036 0.0842097180615653 -0.396069788640831 -0.289289202559765 0.109146424261901 -0.218449645375392 0.927477848097029 -0.393090105544425 0.161607424142254 -0.550251445169297 0.0406902806883782 -0.834249455101389 -0.502087066499082 -0.778351573157515 -0.292726352231988 -0.516981134970328 0.205343419374611 0.165460854781857 0.594527272745001 0.432090507962821 0.626352197611923 0.208135456427177 -0.144222850854461 0.438114665302026 -0.393410817585095 -0.494281062156811 0.104245802002783 0.0742087867392247 0.0347749071994892
